sepal_length,sepal_width,petal_length,petal_width,species_pred,prob
5.5,2.5,4.0,1.3,versicolor,0.9682527169954628
6.9,3.1,5.1,2.3,virginica,0.9728472839067784
5.1,2.5,3.0,1.1,versicolor,0.9536649903401111
4.4,2.9,,0.2,setosa,0.6298784535216715
5.9,3.0,5.1,1.8,virginica,0.8035275682904108
5.5,3.5,1.3,0.2,setosa,0.9577398472320295
5.6,,3.6,1.3,versicolor,0.9416639781463155
6.5,3.0,5.2,2.0,virginica,0.9599426492060505
5.3,3.7,1.5,0.2,setosa,0.9625765761964988
5.1,3.4,1.5,,setosa,0.8096403758873228
6.1,2.8,4.0,1.3,versicolor,0.9800886145137252
5.5,2.4,3.7,1.0,versicolor,0.980341084132987
7.7,3.0,6.1,2.3,virginica,0.9678539841124479
6.9,3.1,4.9,1.5,versicolor,0.7314707145026139
6.0,2.2,5.0,1.5,versicolor,0.5588528977315842
